"아래 풀이에서 빨간색은 실패, 좌절, 손실, 허망, 병고, 사고 등을 뜻하고",,,,,,,,,,,,,,,,
,"검정색은 지혜, 희망, 행복, 성공, 재물 등을 나타냅니다. 청색은 재물 운이 많다라는 내용 입니다.",,,,,,,,,,,,,,,
,"고동색은 경우에 따라 좋게 작용하기도, 나쁘게 작용하기도 한다.",,,,,,,,,,,,,,,
,아래기운이 나타나는 연령대는 사람마다 2∼3년 오차가 있을수 있읍니다.,,,,,,,,,,L8,,N8,,P8,
,,,D8,,F8,,H8,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
이름,,,박,,지,,윤,,,,朴,,智,,允,
,음령오행,,水,상비,金,상생,土,,자원오행,,金,상극,火,상생,土,
,인덕방향,,위,·△,본인,→,아래,,인덕방향,,위,←,본인,→,아래,
수리학,획   수,,7,,4,,6,총 운,획   수,초년,14,장년,12,중년,4,총 운
,한글수리,10,,11,,13,,17,한문수리,16,,26,,18,,30
,수리뜻,만사허망,,수복겸전,,만사허망,,이산파멸,수리뜻,덕망유복,,영웅풀파,,부귀영달,,길흉상반
,연령대,1∼23,,23∼40,,40∼55,,55세이후,연령대,1∼23,,23∼40,,40∼55,,55세이후
주역,괘  상,지택림,,지택림,,지수사,,지택림,괘  상,택지췌,,태위택,,택수곤,,택수곤
,연령대,1∼30,,30∼50,,50∼55,,55세이후,연령대,1∼30,,30∼50,,50∼55,,55세이후
